Surname,First name,OU Computer Username,Personal Identifier,Institution,Department,Email address,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /1.00,Q. 2 /1.00,Q. 3 /1.00,Q. 4 /1.00,Q. 5 /1.00,Q. 6 /1.00,Q. 7 /1.00,Q. 8 /1.00,Q. 9 /1.00,Q. 10 /1.00,Q. 11 /1.00,Q. 12 /1.00,Q. 13 /1.00,Q. 14 /1.00,Q. 15 /1.00,Q. 16 /1.00,Q. 17 /1.00,Q. 18 /1.00,Q. 19 /1.00,Q. 20 /1.00
4f7eff4ef594eb658818eeb4f5002a9f,fb78b064875d5e200fa8357c103becd3,98db8ba762029d8b2c21413923096a60,d5d9f75a66d56a4f57ba090323d66fac,,,57d586b9523a7d540a865fc9a1c39f92,Finished,30 Jan 2016  15:40,30 Jan 2016  17:46,2 hours 5 mins,18.56,1.00,1.00,1.00,1.00,0.89,0.89,1.00,1.00,0.44,0.56,1.00,1.00,1.00,1.00,0.89,1.00,1.00,1.00,0.89,1.00
c201bd2ac4e934165ef71882b28d4fe3,33957e81e4dc94e74fb958ff1ce34e4e,fff8aafa0b17b1c0fe1e53c0947d4b81,b8449b69715271304f341ebeb0003fdf,,,b236c677b536dd1a592ca1da2e7aedce,Finished,30 Jan 2016  16:12,30 Jan 2016  16:40,28 mins 21 secs,17.58,1.00,1.00,1.00,1.00,1.00,1.00,0.67,1.00,1.00,0.78,1.00,0.89,1.00,1.00,0.89,1.00,1.00,0.00,0.44,0.92
8933e77b83eee991c3d3aae3c88b8176,d3d2792b4f002c766a99bb7152ccf3ee,5759a8752ba4984049c0be67c7a6270f,7f30f4954957eb71909d7ec30ccb0e0a,,,ff9114a689c8e5141f46cf1386b5ba9d,Finished,30 Jan 2016  22:20,30 Jan 2016  22:36,16 mins 17 secs,19.72,1.00,1.00,1.00,1.00,0.89,1.00,0.83,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
cad2ee9ce762fd64e8235c070706f2d0,b0197af0bb2c037fd5c6bbe840b06c6b,9a0c46024ca1ab2cc18aec172bbfbc9d,c93061b5be7add3dde1d71cf78664b69,,,09b9d82717ca0c18f0cf58615c8d3efe,Finished,31 Jan 2016  08:47,31 Jan 2016  09:27,39 mins 46 secs,19.83,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.83
fc923dd175c9c06984df402f39ed0ab0,529131b502682340edc778ed6d24c134,ddb8b3f6cd12b8667f619444c4644d90,107d2e3e45ee6f04308b9f0c5a20caf4,,,7e938138a62102a0db2bec13e8167142,Finished,31 Jan 2016  10:53,31 Jan 2016  12:01,1 hour 7 mins,13.67,1.00,0.67,0.67,1.00,0.78,0.89,1.00,0.11,0.11,0.33,0.67,1.00,1.00,0.00,0.89,1.00,1.00,0.67,0.89,0.00
77df020179619d3acf476b3e132c0f50,cc98ad7b1c4e8ac99fcb04e09e080cdf,0880639531bbb5ba08233628463db432,ef11c7074f7a43ad7b04c2a6ea2761d3,,,004574ca3233c3639b708b6b0b5189c4,Finished,31 Jan 2016  18:39, 8 Jun 2016  20:08,129 days,13.89,1.00,1.00,0.67,0.67,0.89,0.56,0.50,1.00,0.00,0.33,0.78,0.89,1.00,1.00,0.33,1.00,1.00,0.00,0.78,0.50
f2e29b6dc252b243a626b0d8c44e1608,de425c58493063ed07bcc28a0b7d8e40,ebad0a4f525401d570ae6af382244b74,9cbbf8c73e350590adc27b89268eacc6,,,8ef21cebedf1f002552adf07f7e32e1f,Finished,31 Jan 2016  21:58,31 Jan 2016  22:25,27 mins 2 secs,18.67,1.00,1.00,1.00,1.00,0.89,0.56,1.00,0.89,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.33,1.00,1.00
1f0a357744ee3b1a21d568e733edccfe,41a8d5bf5bb0a30b1dca315181dc3eb9,2016486e0f4f0dc6858b01aba16c3510,ee089b4af0720857d9260689648d42bb,,,da291a563204563cb0cb8de9f851536f,Finished,31 Jan 2016  22:21,31 Jan 2016  22:46,25 mins 3 secs,18.11,1.00,1.00,1.00,1.00,1.00,0.67,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.11,1.00,1.00,1.00,1.00,0.33
e8dc72942fafb5ebfeb9b663176aaad1,86cb8d08a7abd045c41659effc24e4f4,c81782f5cfbbbee754b5a8cc26df725c,dd59658dc750125e8e18115fd1b49bb1,,,9c8f00aa5f7ee6891b6607fb2658c7b5,Finished, 1 Feb 2016  16:03,18 Mar 2016  15:25,45 days 23 hours,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5cf81509013a68885e8abb737b7575da,98ecad1e4e11f0f06c6315a7c90a8128,bc37f50e94a248c7091865d5daac41e1,080862f33844877c4185e45c63e7b054,,,fc01419f9441ca0bc4b416b195a1d2ea,Finished, 2 Feb 2016  10:32, 5 Jul 2016  11:30,153 days 23 hours,13.94,1.00,1.00,0.67,1.00,0.89,0.44,0.33,0.78,0.56,0.00,0.89,1.00,1.00,1.00,0.33,1.00,0.67,0.33,0.89,0.17
7db09030e6bf1b57040a2d0c00820281,ecc26c6adf1bd46ec056c3f6debc524e,7cb4fb911e1824800763bad424b623d8,13e46607c2809de4617b3f4b775f55b7,,,06c0ccf8aa770ff0b04591b00f24f328,Finished, 2 Feb 2016  19:29, 2 Feb 2016  21:08,1 hour 38 mins,19.22,1.00,1.00,1.00,1.00,1.00,0.56,1.00,1.00,1.00,0.89,1.00,1.00,1.00,1.00,0.89,1.00,1.00,1.00,0.89,1.00
f9483ab755177c36f93d9adff514bf49,d7ff42edb282586b0f0a6f68784c3f5e,2c8a50f56e780a267de7a98fb8f26604,07680a3ad47f518e0ebb96d7c4f1960a,,,20f3dbe232ad473d33b03d05c942809c,Finished, 2 Feb 2016  20:14, 5 Mar 2016  13:39,31 days 17 hours,18.81,1.00,1.00,1.00,1.00,1.00,0.89,0.89,1.00,0.89,0.89,1.00,1.00,1.00,1.00,1.00,1.00,0.67,0.67,1.00,0.92
40c5af691cc219527adbbe9e46f90830,cab8aef4f8439c44ba91cf24131a2357,551d750100af13500bdbcc8d176030e8,ccbe88543cf0e719a5960554f6bfbf40,,,ced25b2f3ce9cdcb147622a045fca26a,Finished, 2 Feb 2016  21:53, 7 Mar 2016  21:18,33 days 23 hours,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
99409d067672526264a31ba1a14261bb,c4d1a25ceaadbdb6af1711b16c7cebce,1581e2cf05f4961dbce32e3a99aebc2d,0393dfb16878ad7caf68d27212417f98,,,0908a3cc426f4cd427c57ac16f101a99,Finished, 2 Feb 2016  22:02, 2 Feb 2016  22:22,19 mins 36 secs,19.03,1.00,1.00,1.00,1.00,0.89,0.89,0.78,1.00,1.00,0.89,1.00,1.00,0.67,1.00,1.00,1.00,1.00,1.00,1.00,0.92
92bef2cd2408c6f83b6c3e39ab0de8bf,8a9650709bdf59ae9fab1d4a024ab789,54a1af7e6ebcb8dddef8b2cd83706c00,36e061db59dd17d186b1626786ac2ff0,,,2d8782a2e5eab5bc69c4ad8c1f37e514,Finished, 2 Feb 2016  22:32, 9 Feb 2016  19:47,6 days 21 hours,16.33,1.00,1.00,0.67,1.00,0.89,0.67,1.00,1.00,0.89,1.00,0.89,0.89,1.00,0.67,0.22,0.67,1.00,0.00,0.89,1.00
babe4b66c4047080e4fbf1e9ae6e9816,b68fab3edaa44972640185ec4420380e,f8f28d37c708600dc6429b11c72f2306,5adb19870824a14171e15fb2d0b1802e,,,020060f241b702f22cfe13dc9baca541,Finished, 2 Feb 2016  22:55,27 Feb 2016  18:06,24 days 19 hours,17.00,1.00,1.00,0.67,0.67,0.89,0.44,1.00,0.89,0.44,0.78,1.00,0.89,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.33
3bc1f6e87ddddfb7cc9b22c73f35145e,eb8781b466ff27ce499a7f00cf19d31c,07d82a577b7582ff0c3eb013b9231285,0456d6fd2a56a97122a2d1568f614718,,,050755a96a2a9e728238ff88ca574a3d,Finished, 3 Feb 2016  09:42,12 Mar 2016  08:51,37 days 23 hours,19.89,1.00,1.00,1.00,1.00,0.89,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
c574d948293e2fce20f1d2c3ad2e7c52,6225db62f77fbf8cd896ab214c1b183d,23c673e072ed1924fba62f4a7232517d,a655111f433d5b2644ed7b00163481ea,,,e0af3fee19091b96f12c4069c4f57330,In progress, 3 Feb 2016  14:09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8933e77b83eee991c3d3aae3c88b8176,d3d2792b4f002c766a99bb7152ccf3ee,5759a8752ba4984049c0be67c7a6270f,7f30f4954957eb71909d7ec30ccb0e0a,,,ff9114a689c8e5141f46cf1386b5ba9d,Finished, 3 Feb 2016  20:09, 3 Feb 2016  20:24,14 mins 3 secs,19.83,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.83
a20cd95911348c29899fdcb16800bb21,685d1f2d39e6ea8b799b727af59e2b5f,f3478496c320f33f6a22d52ef546905f,650dec0b27076180e33bad0105b0773b,,,e0cd53c2fcd143a73d6b781be366039d,Finished, 3 Feb 2016  22:26, 5 May 2016  23:55,92 days,17.42,1.00,1.00,0.67,1.00,0.89,0.78,0.75,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.33,0.33,0.67,1.00
3300647afab0c1341dcb70cf7b8ab7cd,2bddcdefba86b7602fe9091a127e31f6,ea55e6e232d7d454d342039d3571a26a,86a729acd802df7d50607198c2185979,,,22aa6bfb7abd00bb89a7adcf4cbf59a9,Finished, 4 Feb 2016  04:48, 4 Feb 2016  15:49,11 hours 1 min,16.50,1.00,1.00,1.00,1.00,0.67,0.67,0.50,1.00,0.56,0.78,0.89,1.00,0.33,0.67,0.44,1.00,1.00,1.00,1.00,1.00
5e8824b2aa9fadea0f4939b09a83ac45,1d27d411f9ca61ba50d586a8e0035bc6,a22007ced252d08e5913f7c49003789c,feac29897cdcded19ca01d84d1a9d1de,,,30d31df3ac0714328c280e7bf345eadf,Finished, 4 Feb 2016  08:04, 5 Jul 2016  10:30,152 days 1 hour,15.72,1.00,1.00,1.00,0.00,0.89,0.33,0.89,0.78,0.89,0.89,1.00,0.89,1.00,1.00,0.44,1.00,1.00,0.33,0.89,0.50
d4381ab54a56ab45f65ac695575c223d,747659778e1f05425947bbed47b45bee,0401d414a234d472e77d3df7dcd78fa1,b6b804b7fcb2f83bcf7fa71ae654fe00,,,9719f7523ef633d908fcddf58ccc51b0,Finished, 4 Feb 2016  11:08, 4 Feb 2016  11:12,4 mins 42 secs,4.22,1.00,1.00,1.00,1.00,0.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
d4381ab54a56ab45f65ac695575c223d,747659778e1f05425947bbed47b45bee,0401d414a234d472e77d3df7dcd78fa1,b6b804b7fcb2f83bcf7fa71ae654fe00,,,9719f7523ef633d908fcddf58ccc51b0,Finished, 4 Feb 2016  11:13, 4 Feb 2016  11:35,22 mins 23 secs,18.17,1.00,1.00,1.00,1.00,1.00,0.67,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.67,1.00,0.67,1.00,1.00,0.17
bd775378b536cdf36d301ec229705fb1,4fb8c5c303685e0cd59796c42befbc29,d015976d987ce544f8da657c79dd1f86,de9b3258c50941ba6ff048c203194c8b,,,ecc26c6e9185bac53b43e1d14d7c9986,Finished, 4 Feb 2016  13:46, 4 Feb 2016  14:20,33 mins 17 secs,12.06,1.00,1.00,1.00,0.67,0.78,0.56,0.17,1.00,0.00,0.44,0.89,0.22,1.00,0.00,1.00,1.00,0.67,0.00,0.67,0.00
62a89fc9a21d890e10adc7920833727e,cfeba0612e69e7ca32e0560e3acb411d,49b9b9478b2d78a8a4c3b2b6911556fd,bea41dbb40b087bd7f805703382d1fda,,,35a28f0c1c4ea00012428e84e470721d,Finished, 4 Feb 2016  13:52, 4 Feb 2016  14:29,36 mins 5 secs,16.06,1.00,1.00,1.00,1.00,0.78,0.67,1.00,0.67,1.00,0.67,1.00,1.00,1.00,0.67,0.44,1.00,1.00,0.00,1.00,0.17
3e54205c07b6f8ed9457fc9b91a7a21b,23d2e743631fad939a9147f93dd106f2,bc369387e26d4a3bada6f8710ab31e47,900e57235296ce1cd5f397f2c595c2f6,,,c0dade146f574b356b2b065e2403aae2,Finished, 4 Feb 2016  14:41, 4 Feb 2016  15:02,21 mins 19 secs,18.42,1.00,1.00,1.00,1.00,0.89,1.00,0.83,0.89,1.00,1.00,1.00,0.89,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.92
3e54205c07b6f8ed9457fc9b91a7a21b,23d2e743631fad939a9147f93dd106f2,bc369387e26d4a3bada6f8710ab31e47,900e57235296ce1cd5f397f2c595c2f6,,,c0dade146f574b356b2b065e2403aae2,Finished, 4 Feb 2016  15:03, 4 Feb 2016  15:16,13 mins 32 secs,19.33,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.33,1.00,1.00
3e54205c07b6f8ed9457fc9b91a7a21b,23d2e743631fad939a9147f93dd106f2,bc369387e26d4a3bada6f8710ab31e47,900e57235296ce1cd5f397f2c595c2f6,,,c0dade146f574b356b2b065e2403aae2,Finished, 4 Feb 2016  15:17, 4 Feb 2016  15:20,3 mins 3 secs,6.67,1.00,1.00,1.00,1.00,1.00,1.00,0.67,-,-,-,-,-,-,-,-,-,-,-,-,-
3e54205c07b6f8ed9457fc9b91a7a21b,23d2e743631fad939a9147f93dd106f2,bc369387e26d4a3bada6f8710ab31e47,900e57235296ce1cd5f397f2c595c2f6,,,c0dade146f574b356b2b065e2403aae2,Finished, 4 Feb 2016  15:20, 4 Feb 2016  15:41,20 mins 33 secs,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
3300647afab0c1341dcb70cf7b8ab7cd,2bddcdefba86b7602fe9091a127e31f6,ea55e6e232d7d454d342039d3571a26a,86a729acd802df7d50607198c2185979,,,22aa6bfb7abd00bb89a7adcf4cbf59a9,Finished, 4 Feb 2016  17:56, 4 Feb 2016  18:34,38 mins 26 secs,10.00,1.00,1.00,1.00,1.00,0.67,0.78,-,0.33,-,-,-,-,1.00,1.00,0.89,1.00,0.33,0.00,-,-
3300647afab0c1341dcb70cf7b8ab7cd,2bddcdefba86b7602fe9091a127e31f6,ea55e6e232d7d454d342039d3571a26a,86a729acd802df7d50607198c2185979,,,22aa6bfb7abd00bb89a7adcf4cbf59a9,Finished, 4 Feb 2016  18:34, 4 Feb 2016  19:33,58 mins 44 secs,11.89,1.00,1.00,1.00,1.00,0.89,1.00,1.00,0.33,-,-,1.00,0.67,1.00,-,-,1.00,1.00,-,-,-
b8e8848759d51a8ddd7d24e965c7f46b,36bf98aa94aa88b936d41fdcc08f3e42,d453000047f7078a72a421e2fcee7898,d40a56349ab6623366b00d1b9d67fd66,,,8be4bfe416b9379d42c8e754dd05b9a6,Finished, 4 Feb 2016  19:54,22 Mar 2016  22:10,47 days 2 hours,16.11,1.00,1.00,1.00,1.00,1.00,0.89,0.83,1.00,0.78,0.67,0.89,0.33,1.00,0.33,0.89,1.00,0.67,0.67,0.67,0.50
3300647afab0c1341dcb70cf7b8ab7cd,2bddcdefba86b7602fe9091a127e31f6,ea55e6e232d7d454d342039d3571a26a,86a729acd802df7d50607198c2185979,,,22aa6bfb7abd00bb89a7adcf4cbf59a9,Finished, 4 Feb 2016  20:12, 4 Feb 2016  21:50,1 hour 37 mins,3.67,1.00,0.67,1.00,1.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
baf31de1cc0d71b329d8460ca2cc8b62,aef95567a513e4da91be57d18b006c26,446fffb2ccb7dbe94ed8a1b14f1ac60f,c99dc96887307c9280d1b48c702f5783,,,feb8363d580f7b028733de22dceedec6,Finished, 4 Feb 2016  20:55, 7 Jun 2016  09:47,123 days 11 hours,17.78,1.00,1.00,1.00,1.00,0.78,0.22,0.89,1.00,1.00,0.67,1.00,0.89,1.00,1.00,0.67,1.00,1.00,1.00,0.67,1.00
3300647afab0c1341dcb70cf7b8ab7cd,2bddcdefba86b7602fe9091a127e31f6,ea55e6e232d7d454d342039d3571a26a,86a729acd802df7d50607198c2185979,,,22aa6bfb7abd00bb89a7adcf4cbf59a9,Finished, 4 Feb 2016  21:51, 5 Feb 2016  01:26,3 hours 35 mins,12.50,1.00,-,1.00,1.00,1.00,1.00,1.00,-,1.00,-,1.00,-,1.00,1.00,-,1.00,1.00,-,-,0.50
d4381ab54a56ab45f65ac695575c223d,747659778e1f05425947bbed47b45bee,0401d414a234d472e77d3df7dcd78fa1,b6b804b7fcb2f83bcf7fa71ae654fe00,,,9719f7523ef633d908fcddf58ccc51b0,Finished, 5 Feb 2016  00:29, 5 Feb 2016  00:45,16 mins 2 secs,19.89,1.00,1.00,1.00,1.00,1.00,0.89,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
3300647afab0c1341dcb70cf7b8ab7cd,2bddcdefba86b7602fe9091a127e31f6,ea55e6e232d7d454d342039d3571a26a,86a729acd802df7d50607198c2185979,,,22aa6bfb7abd00bb89a7adcf4cbf59a9,Finished, 5 Feb 2016  01:27, 5 Feb 2016  02:37,1 hour 10 mins,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
abe3063045fd82ed3a74d3895dacf54b,2fcdf46520edb9b0b69b3b3ae6d3d84a,2e01d9d94b745ed162f9cdc0140021a5,df2db9a639685eb5fc4d77ff9274a513,,,f66a90ea6c92ba168ceac6b77e740ecd,Finished, 5 Feb 2016  11:29,13 Feb 2016  12:18,8 days,18.81,1.00,1.00,1.00,1.00,0.89,0.44,1.00,1.00,0.89,0.89,0.89,1.00,1.00,1.00,0.89,1.00,1.00,1.00,1.00,0.92
1c454914690decc5aa42aefb3559ab2a,e626d6447a0ce3c9604aec57f00a831e,3cf184aa576d3d28666446e5109d6303,01c01680048094dbaa81a0d2e312c3d5,,,6fd52de52baf42452d659aa32b83aa9f,Finished, 5 Feb 2016  13:54, 5 Feb 2016  14:23,28 mins 30 secs,19.11,1.00,1.00,1.00,1.00,1.00,1.00,0.89,0.89,1.00,0.89,1.00,0.89,1.00,1.00,0.89,1.00,0.67,1.00,1.00,1.00
96d8a78b12ac968097b79e02193df705,ef8ef7e70747543e4b7bc6d74672e0c4,5a0cc6faa93f970fa63f253603bf708c,d1a44f47cf0fe794522d7e1d510095d1,,,5d6017ec2617db31309b647c858bba84,Finished, 5 Feb 2016  20:44, 8 Mar 2016  19:30,31 days 22 hours,12.56,1.00,1.00,1.00,1.00,0.89,0.56,0.33,0.78,0.11,0.78,0.11,1.00,0.67,0.67,0.44,1.00,1.00,0.00,0.22,0.00
6a1cd1c6429e9f7f2f0570cce41498f2,72853bc2b83aeaf55e8674f056671729,df2f0542fd5fafd728a36b1c46652d19,1ce49073dfb8d1dcea20471bea870011,,,4d24e3bfa7f0d69d541b80e11f4f5396,Finished, 5 Feb 2016  22:02,29 Feb 2016  22:11,24 days,18.44,1.00,1.00,0.67,0.67,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.89,1.00,1.00,0.56,1.00,0.67,1.00,1.00,1.00
7be86d8aa27f19a50d84542213a2b021,9955ae4dd7e53797a1157680670e37f5,d0a7978bc885237b6cfc2d6f9416c568,80e1c0d3582683184a660d281934332a,,,85a144e88e02bd2e91184adf1d47113d,Finished, 6 Feb 2016  11:02, 6 Feb 2016  11:40,37 mins 50 secs,16.75,1.00,1.00,0.00,0.33,0.89,0.78,1.00,0.89,1.00,0.89,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.67,0.56,0.75
6f7504a6fba36cbad497faa538427861,dd2d5de5a3e9f2d2286445d2942bf0e5,ad5a18521defb913021fec9c0895c52b,72506eef0cc8a7a6cdd529f27ac4771c,,,9285ea07e7e3fedf1cfdb5c2da728a14,Finished, 6 Feb 2016  11:24,21 Mar 2016  20:36,44 days 9 hours,16.31,1.00,0.67,0.33,1.00,1.00,1.00,0.83,1.00,0.89,1.00,0.89,0.33,1.00,1.00,0.89,1.00,1.00,0.00,0.56,0.92
dee30d77d411361847dafe83563989cf,d762d7f0f8a220293bc6400f7870cb84,e8a72c7db103195320f54aa9e15248ab,3a357bb7b9a1befba30ba79bdf52101c,,,becfe9ca842e2acf595d328e4985165c,Finished, 6 Feb 2016  14:06,19 Mar 2016  13:12,41 days 23 hours,18.00,1.00,0.67,1.00,1.00,1.00,0.78,1.00,1.00,1.00,0.44,1.00,1.00,1.00,1.00,0.89,1.00,0.67,1.00,0.56,1.00
12187bf52d99878a6c26e6781bd4c0df,414caf94722500eec6789f61a3e4ef45,0b1e0404e7b039de4328eb8ec6dae523,8b5e03421cb9978e391a9e43b4cb0943,,,61f9f21253b79cf5a8f886ca1928d13f,Finished, 6 Feb 2016  21:56,21 Mar 2016  17:20,43 days 19 hours,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
d9f611b56bf55096e89020aeb1dcf52d,8a0e285a344a6d52854e8495295bf14b,fa100b623a3b874f71ea1ab6b52d2108,529ed6ded648a6cc8ea07351de33a3d2,,,f2f811172cbc12395c4741f50959c20e,Finished, 7 Feb 2016  14:33, 7 Feb 2016  14:57,23 mins 54 secs,19.72,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.89,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.83
a551255aba280834b0f4800d42ef1bda,ac0592b0dcb141b624b6512c3a5a207e,06a4b1369c11daa16485aa3f730dabd8,e69b9f4756e7335b4bdc6db6946107d8,,,611f6cf5227af7e6d7be14439cf4f163,In progress, 7 Feb 2016  16:31,-,-,-,1.00,1.00,-,1.00,0.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
